,POS-Tag Frequencies
NOUN,0.34813509901591544
ADP,0.17041883019127055
PROPN,0.14702635318229598
VERB,0.12987486332158912
ADJ,0.08469835668971491
DET,0.036735459265871864
ADV,0.021791953009037943
NUM,0.01869919128638815
CCONJ,0.015321187662759557
AUX,0.008839857801630104
PRON,0.0083406844749172
X,0.005261128395831242
PART,0.0041518543364692335
PUNCT,0.0004172983366171367
SCONJ,0.0002852419009788023
INTJ,2.641128712766688e-06
